"date","treatment","row","tissue","A","GS","E","DOY","osm","po","popd","posm"
2019-05-07,"A","1","s",7.764709177,0.175341778,2.699794751,"127",331,-0.31,NA,0.8275
2019-05-07,"A","1","s",8.025445498,0.184897953,2.706106061,"127",311,-0.32,NA,0.7775
2019-05-07,"A","1","s",9.701955706,0.223342489,2.463372204,"127",321,-0.34,NA,0.8025
2019-05-07,"A","2","s",12.2771405,0.201762935,3.137617945,"127",332,-0.31,NA,0.83
2019-05-07,"A","2","s",10.87606888,0.216633844,3.186489239,"127",306,-0.3,NA,0.765
2019-05-07,"A","2","s",13.39894317,0.300505609,3.182758254,"127",330,-0.38,NA,0.825
2019-05-07,"A","3","s",NA,NA,NA,"127",324,-0.34,NA,0.81
2019-05-07,"A","3","s",NA,NA,NA,"127",394,-0.3,NA,0.985
2019-05-07,"A","3","s",NA,NA,NA,"127",345,-0.4,NA,0.8625
2019-05-07,"E","1","s",10.55187195,0.122785427,2.894034019,"127",275,-0.42,NA,0.6875
2019-05-07,"E","1","s",12.65143929,0.10769818,2.634087288,"127",273,-0.47,NA,0.6825
2019-05-07,"E","2","s",8.790431075,0.162395466,NA,"127",343,-0.35,NA,0.8575
2019-05-07,"E","2","s",10.62333462,0.22568072,NA,"127",309,-0.39,NA,0.7725
2019-05-07,"E","2","s",10.34670023,0.240132682,NA,"127",340,-0.35,NA,0.85
2019-05-07,"liz","0","s",12.49467801,0.152212387,3.125842739,"127",218,-0.33,NA,0.545
2019-05-07,"liz","0","s",9.655715375,0.110656765,2.883986053,"127",313,-0.35,NA,0.7825
2019-05-07,"liz","0","s",9.914708144,0.137231675,3.126478371,"127",287,-0.39,NA,0.7175
2019-05-07,"liz","0","s",7.3732029,0.131505682,3.135217123,"127",223,-0.3,NA,0.5575
2019-05-07,"liz","0","s",5.456383473,0.151446005,2.856044479,"127",231,-0.3,NA,0.5775
2019-05-07,"liz","0","s",5.105656461,0.129537576,2.861687055,"127",262,-0.31,NA,0.655
2019-05-20,"A","1","s",2.853909026,0.07272798,2.699794751,"140",334,-0.4,-0.08,0.835
2019-05-20,"A","1","s",7.795236283,0.071076763,2.706106061,"140",283,-0.47,-0.093,0.7075
2019-05-20,"A","1","s",8.065220325,0.066617888,2.463372204,"140",293.5,-0.44,-0.09,0.73375
2019-05-20,"A","2","s",8.746380923,0.077735282,3.137617945,"140",300,-0.5,-0.1,0.75
2019-05-20,"A","2","s",8.826730991,0.084331555,3.186489239,"140",339,-0.51,-0.08,0.8475
2019-05-20,"A","2","s",8.968574958,0.083070944,3.182758254,"140",326,-0.55,-0.08,0.815
2019-05-20,"E","1","s",7.97526237,0.074206335,2.948502991,"140",260.5,-0.5,NA,0.65125
2019-05-20,"E","1","s",6.105892342,0.074658543,2.969332647,"140",256.5,-0.63,NA,0.64125
2019-05-20,"E","1","s",6.827521385,0.072770286,2.918647549,"140",393.5,-0.58,NA,0.98375
2019-05-20,"E","2","s",8.990521979,0.067461044,2.894034019,"140",354.5,-0.59,-0.16,0.88625
2019-05-20,"E","2","s",3.570067276,0.060306717,2.634087288,"140",378,-0.57,-0.096,0.945
2019-05-20,"E","2","s",3.458310142,0.06451414,2.632255082,"140",376.5,-0.46,-0.086,0.94125
